Star_ID,parallax_mas,logP,mag_B,err_B,mag_V,err_V,mag_I,err_I,E_B_V,A_V
XX Cen,0.5640,1.0400,8.8820,0.0190,7.8550,0.0120,6.7540,0.0080,0.5223,1.6191
T Mon,0.7330,1.4320,7.4360,0.0220,6.1870,0.0140,5.0050,0.0100,0.5997,1.8590
TW Nor,0.3620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CV Mon,0.6020,0.7310,11.6810,0.0150,10.3140,0.0100,8.6530,0.0060,1.4373,4.4556
RY Sco,0.7540,1.3080,9.5680,0.0180,8.0370,0.0120,6.2710,0.0080,1.2228,3.7907
TT Aql,0.9940,1.1380,8.5600,0.0220,7.1850,0.0140,5.7450,0.0090,0.9672,2.9983
QZ Nor,0.4710,0.5780,9.7820,0.0070,8.8750,0.0040,7.8710,0.0030,1.2364,3.8329
Y Oph,1.3490,1.2340,7.5730,0.0110,6.1610,0.0070,4.5430,0.0050,0.8138,2.5227
VW Cen,0.2560,1.1770,11.7540,0.0220,10.3060,0.0140,8.8020,0.0090,1.3431,4.1638
V340 Nor,0.4900,1.0530,NaN,NaN,8.4070,0.0050,NaN,NaN,1.2831,3.9778
GY Sge,0.3460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WZ Car,0.2810,1.3620,10.6140,0.0270,9.3430,0.0180,8.0020,0.0110,NaN,NaN
CD Cyg,0.3930,1.2320,10.4220,0.0250,9.0230,0.0160,7.5250,0.0100,NaN,NaN
FF Aql,1.9200,0.6500,6.1590,0.0070,5.3830,0.0050,4.5030,0.0040,0.4996,1.5486
Y Lac,0.4300,0.6360,9.9210,0.0160,9.1630,0.0110,8.3120,0.0070,0.3880,1.2028
BB Sgr,1.1940,0.8220,7.9870,0.0130,6.9650,0.0080,5.8550,0.0060,0.2405,0.7455
Z Lac,0.5100,1.0370,9.6230,0.0190,8.4480,0.0120,7.2120,0.0080,0.6702,2.0775
BG Lac,0.5820,0.7270,9.8780,0.0130,8.9000,0.0090,7.8250,0.0050,0.3374,1.0461
UU Mus,0.3080,1.0660,11.0400,0.0200,9.8390,0.0130,8.5020,0.0080,0.9659,2.9944
KN Cen,0.2400,1.5320,11.6040,0.0210,9.9180,0.0150,8.0240,0.0110,1.5576,4.8286
RU Sct,0.5210,1.2940,11.2910,0.0230,9.5260,0.0150,7.4860,0.0090,NaN,NaN
DL Cas,0.5810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7936,2.4602
RS Pup,0.5870,1.6170,8.5800,0.0190,7.0570,0.0130,5.5070,0.0090,0.8197,2.5412
CE Cas B,0.3310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8207,2.5440
SV Vul,0.4050,1.6530,8.8100,0.0180,7.2670,0.0120,5.7190,0.0090,NaN,NaN
VY Car,0.5640,1.2770,8.7440,0.0150,7.5100,0.0120,6.3010,0.0070,1.0360,3.2115
V367 Sct,0.4700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
U Nor,0.6220,1.1020,10.9390,0.0200,9.2730,0.0130,7.3660,0.0080,NaN,NaN
LS Pup,0.2130,1.1510,11.7900,0.0200,10.5000,0.0130,9.0870,0.0080,0.7634,2.3665
AQ Pup,0.2900,1.4790,10.1970,0.0220,8.7560,0.0150,7.1780,0.0100,0.7818,2.4236
BN Pup,0.2980,1.1360,11.2120,0.0240,9.9470,0.0160,8.5810,0.0100,0.6313,1.9569
U Sgr,1.6050,0.8290,7.8590,0.0160,6.7240,0.0100,5.4500,0.0060,0.7314,2.2672
S Mus,1.1720,0.9850,6.9880,0.0120,6.1460,0.0080,5.2040,0.0050,0.2424,0.7513
T Vul,1.7130,0.6470,6.4440,0.0140,5.7720,0.0090,5.0870,0.0060,0.1702,0.5278
WZ Sgr,0.6070,1.3390,9.5840,0.0230,8.0980,0.0150,6.5840,0.0090,NaN,NaN
V Car,0.7970,0.8260,8.2790,0.0130,7.3840,0.0090,6.4400,0.0050,0.1886,0.5846
S Nor,1.0940,0.9890,7.4190,0.0140,6.4460,0.0090,5.4360,0.0060,0.3401,1.0544
CS Vel,0.2740,0.7710,13.0710,0.0170,11.7280,0.0110,10.0800,0.0070,1.9023,5.8970
V Cen,1.4130,0.7400,7.7690,0.0170,6.8570,0.0110,5.8050,0.0070,1.1718,3.6327
CF Cas,0.3150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8207,2.5440
T Vel,0.9360,0.6670,9.0010,0.0140,8.0470,0.0090,6.9710,0.0060,0.8183,2.5367
X Cyg,0.9090,1.2140,7.6590,0.0230,6.4340,0.0140,5.2540,0.0090,0.6879,2.1326
VZ Cyg,0.5410,0.6870,9.9000,0.0150,8.9830,0.0100,7.9700,0.0060,0.2543,0.7883
CE Cas A,0.3310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8207,2.5440
SW Vel,0.4090,1.3700,9.4350,0.0220,8.1890,0.0140,6.8750,0.0090,0.9399,2.9137
SZ Aql,0.5210,1.2340,10.2270,0.0250,8.6970,0.0160,7.1030,0.0100,1.3786,4.2736
S Vul,0.2310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9095,5.9195
RZ Vel,0.6600,1.3100,8.4080,0.0260,7.1700,0.0170,5.8980,0.0110,1.1769,3.6484
GH Lup,0.8640,0.9670,8.8510,0.0040,7.6320,0.0020,6.3600,0.0020,1.1761,3.6460
RY Vel,0.3770,1.4490,9.8720,0.0210,8.4210,0.0140,6.8460,0.0090,1.4953,4.6355
X Sgr,2.8220,0.8460,5.3340,0.0130,4.5690,0.0090,3.6630,0.0060,NaN,NaN
V496 Aql,0.9760,0.8330,8.9370,0.0080,7.7690,0.0050,6.4910,0.0040,0.3182,0.9863
V350 Sgr,0.8060,0.7120,8.4490,0.0150,7.5040,0.0100,6.4530,0.0060,0.3277,1.0158
U Vul,1.2910,0.9030,8.4920,0.0160,7.1490,0.0110,5.6090,0.0070,NaN,NaN
W Sgr,2.3540,0.8810,5.4720,0.0170,4.6940,0.0110,3.8630,0.0070,0.5578,1.7292
SU Cyg,1.0360,0.5850,7.4930,0.0150,6.8900,0.0110,6.2080,0.0070,0.9989,3.0967
S Sge,1.6850,0.9230,6.4880,0.0160,5.6410,0.0110,4.7820,0.0060,0.2888,0.8953
beta Dor,2.9170,0.9930,4.5860,0.0130,3.7580,0.0090,2.9460,0.0060,0.0539,0.1669
U Car,0.5590,1.5890,7.6250,0.0250,6.3420,0.0160,5.0760,0.0100,NaN,NaN
l Car,1.9420,1.5510,5.0480,0.0170,3.7490,0.0110,2.5640,0.0070,0.2190,0.6788
zeta Gem,3.0640,1.0070,4.7350,0.0110,3.9010,0.0070,3.1000,0.0050,0.0699,0.2166
Y Sgr,2.0030,0.7610,6.6570,0.0160,5.7660,0.0100,4.8010,0.0060,1.7647,5.4707
delta Cep,3.5560,0.7300,4.6840,0.0180,3.9900,0.0120,NaN,NaN,1.4914,4.6233
U Aql,1.7480,0.8470,7.5360,0.0160,6.4570,0.0110,5.2790,0.0070,0.3334,1.0337
eta Aql,3.6740,0.8560,4.7440,0.0170,3.9180,0.0110,3.0360,0.0070,0.1936,0.6001
RT Aur,1.8410,0.5710,6.1200,0.0170,5.4870,0.0110,4.8220,0.0060,0.1844,0.5717
SU Cru,0.2110,1.1090,11.6130,0.0150,9.8020,0.0080,7.6580,0.0030,NaN,NaN
