,phase,mag_1,err_mag_1,mag_2,err_mag_2
0,0.9187122736416313,11.568,0.013000000000000001,11.605,0.013999999999999999
1,0.9689134808852486,11.51,0.013000000000000001,11.498,0.013000000000000001
2,0.9923876592890792,11.485,0.012,11.470999999999998,0.013999999999999999
3,0.04832327297117445,11.395999999999999,0.013000000000000001,11.372,0.013000000000000001
4,0.07984574111310394,11.378,0.012,11.33,0.013000000000000001
5,0.12686116700183447,11.334000000000001,0.011000000000000001,11.296,0.013000000000000001
6,0.1611670020120073,11.267999999999999,0.011000000000000001,11.276,0.012
7,0.19681421864538606,11.244000000000002,0.012,11.255,0.012
8,0.24356136820915708,11.205,0.011000000000000001,11.235,0.013000000000000001
9,0.3011066398391904,11.182,0.011000000000000001,11.232000000000001,0.012
10,0.3264922870555438,11.162,0.011000000000000001,11.235,0.012
11,0.37424547283694665,11.165,0.011000000000000001,11.243,0.012
12,0.4129778672033808,11.167,0.011000000000000001,11.267000000000001,0.013999999999999999
13,0.46465459423188804,11.171,0.011000000000000001,11.29,0.012
14,0.4966130114016778,11.187000000000001,0.011000000000000001,11.292,0.012
15,0.5305835010060491,11.22,0.011000000000000001,11.315,0.013000000000000001
16,0.6083501006035021,11.265999999999998,0.011000000000000001,11.394,0.013000000000000001
17,0.627967806840843,11.282,0.011000000000000001,11.378,0.013000000000000001
18,0.663413816230559,11.302,0.011000000000000001,11.419,0.013000000000000001
19,0.7059356136819588,11.357000000000001,0.012,11.46,0.013000000000000001
20,0.7423876592890792,11.389000000000001,0.012,11.527999999999999,0.013999999999999999
21,0.7918511066397969,11.439,0.012,11.523,0.013999999999999999
22,0.8279678068411158,11.472000000000001,0.012,11.584000000000001,0.013999999999999999
